x1,y1,x2,y2,page_number,field_name,index,field_type
done_upto_here
282,398,327,448,1,EIIN,1,OCR_CHAR
327,398,372,448,1,EIIN,2,OCR_CHAR
372,398,420,448,1,EIIN,3,OCR_CHAR
420,398,465,448,1,EIIN,4,OCR_CHAR
465,398,510,448,1,EIIN,5,OCR_CHAR
510,398,552,448,1,EIIN,6,OCR_CHAR
505,635,1565,695,1,Student_Name,,OCR_WORD
505,695,535,755,1,Name_ENG,1,OCR_CHAR
535,695,565,755,1,Name_ENG,2,OCR_CHAR
565,695,596,755,1,Name_ENG,3,OCR_CHAR
596,695,626,755,1,Name_ENG,4,OCR_CHAR
626,695,656,755,1,Name_ENG,5,OCR_CHAR
656,695,686,755,1,Name_ENG,6,OCR_CHAR
686,695,716,755,1,Name_ENG,7,OCR_CHAR
716,695,746,755,1,Name_ENG,8,OCR_CHAR
746,695,776,755,1,Name_ENG,9,OCR_CHAR
776,695,806,755,1,Name_ENG,10,OCR_CHAR
806,695,836,755,1,Name_ENG,11,OCR_CHAR
836,695,866,755,1,Name_ENG,12,OCR_CHAR
866,695,896,755,1,Name_ENG,13,OCR_CHAR
896,695,926,755,1,Name_ENG,14,OCR_CHAR
926,695,956,755,1,Name_ENG,15,OCR_CHAR
956,695,986,755,1,Name_ENG,16,OCR_CHAR
986,695,1016,755,1,Name_ENG,17,OCR_CHAR
1016,695,1046,755,1,Name_ENG,18,OCR_CHAR
1046,695,1076,755,1,Name_ENG,19,OCR_CHAR
1076,695,1106,755,1,Name_ENG,20,OCR_CHAR
1106,695,1136,755,1,Name_ENG,21,OCR_CHAR
1136,695,1166,755,1,Name_ENG,22,OCR_CHAR
1166,695,1196,755,1,Name_ENG,23,OCR_CHAR
1196,695,1226,755,1,Name_ENG,24,OCR_CHAR
1226,695,1256,755,1,Name_ENG,25,OCR_CHAR
1256,695,1286,755,1,Name_ENG,26,OCR_CHAR
1286,695,1316,755,1,Name_ENG,27,OCR_CHAR
1316,695,1346,755,1,Name_ENG,28,OCR_CHAR
1346,695,1376,755,1,Name_ENG,29,OCR_CHAR
1376,695,1406,755,1,Name_ENG,30,OCR_CHAR
1406,695,1436,755,1,Name_ENG,31,OCR_CHAR
1436,695,1466,755,1,Name_ENG,32,OCR_CHAR
1466,695,1496,755,1,Name_ENG,33,OCR_CHAR
1496,695,1526,755,1,Name_ENG,34,OCR_CHAR
1526,695,1556,755,1,Name_ENG,35,OCR_CHAR
505,747,544,808,1,Birth_Certificate,1,OCR_CHAR
544,747,583,808,1,Birth_Certificate,2,OCR_CHAR
583,747,621,808,1,Birth_Certificate,3,OCR_CHAR
621,747,659,808,1,Birth_Certificate,4,OCR_CHAR
659,747,697,808,1,Birth_Certificate,5,OCR_CHAR
697,747,735,808,1,Birth_Certificate,6,OCR_CHAR
